Structure,Formula,TC
rocksalt,AgBr,0.5324464372285903
rocksalt,AgCl,0.5076814928374872
rocksalt,BaO,3.105960682473178
rocksalt,BaS,6.248899034839497
rocksalt,BaSe,11.422769913530052
rocksalt,BaTe,11.569691298509456
rocksalt,CaO,26.50144293624608
rocksalt,CaS,37.00100974066377
rocksalt,CaSe,18.88810237692597
rocksalt,CaTe,11.251761058856696
rocksalt,CdO,8.596884604860122
rocksalt,CsF,1.524343765199638
rocksalt,BrK,2.8819708700878124
rocksalt,ClK,7.25252794229154
rocksalt,FK,7.499885792777106
rocksalt,HK,10.809415276413256
rocksalt,IK,2.095276061847134
rocksalt,BrLi,2.8543014030268825
rocksalt,ClLi,4.820913008186313
rocksalt,FLi,16.533653090291597
rocksalt,HLi,40.228930506837536
rocksalt,ILi,2.106651824046763
rocksalt,MgO,66.06932152405832
rocksalt,BrNa,2.904536884483077
rocksalt,ClNa,7.95828288351462
rocksalt,FNa,24.508893457866503
rocksalt,HNa,16.683299345278375
rocksalt,INa,2.134234802032447
rocksalt,PbS,2.0277599863023776
rocksalt,PbSe,2.235803693459575
rocksalt,PbTe,3.205886009838356
rocksalt,BrRb,3.580745504548553
rocksalt,ClRb,2.508627712018214
rocksalt,FRb,2.956639064000633
rocksalt,HRb,5.7396759252164005
rocksalt,IRb,2.01353397522604
rocksalt,OSr,10.613351708533685
wurtzite,AgI,2.455758728769999
wurtzite,AlAs,64.64743859679771
wurtzite,AlN,245.2704093643856
wurtzite,AlP,67.74721670610886
wurtzite,AlSb,50.338684347127376
wurtzite,AsB,1316.4723840736665
wurtzite,BeO,310.93494411307404
wurtzite,BeS,156.6434005169799
wurtzite,BeSe,321.05421564440184
wurtzite,BeTe,197.4769879630724
wurtzite,BN,1036.7654131789038
wurtzite,BP,440.8682856554829
wurtzite,CdS,19.876929564235827
wurtzite,CdSe,12.476415846764713
wurtzite,CdTe,6.284424732028807
wurtzite,BrCu,3.5025703072506715
wurtzite,ClCu,1.7289937126642387
wurtzite,CuH,5.777278381676896
wurtzite,CuI,8.955042925685737
wurtzite,AsGa,30.679165561702888
wurtzite,GaN,300.67351603144067
wurtzite,GaP,119.21823647454724
wurtzite,GaSb,24.721266390128005
wurtzite,AsIn,21.438211001284497
wurtzite,InN,114.50887077331474
wurtzite,InP,69.15364550709126
wurtzite,InSb,10.878160439978116
wurtzite,MgTe,8.352737219547302
wurtzite,CSi,454.4101258161733
wurtzite,OZn,56.28362862748213
wurtzite,SZn,61.09127307917177
wurtzite,SeZn,18.49308173215492
wurtzite,TeZn,20.90239196689849
zincblende,AgI,4.0876875222285385
zincblende,AlAs,80.87898505735956
zincblende,AlN,240.67197827649065
zincblende,AlP,80.52964132425929
zincblende,AlSb,108.21515077187792
zincblende,AsB,1769.0012100965014
zincblende,BeO,368.0364229700956
zincblende,BeS,196.41161229251907
zincblende,BeSe,453.05605910409946
zincblende,BeTe,265.1332487131116
zincblende,BN,1297.6535193731645
zincblende,BP,484.6934033296575
zincblende,CdS,25.818777597301363
zincblende,CdSe,17.555091536304044
zincblende,CdTe,8.97031402923846
zincblende,BrCu,8.669870475809189
zincblende,ClCu,1.8972895569482464
zincblende,CuH,17.148388842357107
zincblende,CuI,11.288801596747971
zincblende,AsGa,36.260249234690725
zincblende,GaN,268.3436985461308
zincblende,GaP,118.153031393418
zincblende,GaSb,35.71790768152866
zincblende,AsIn,24.83230873124552
zincblende,InN,107.01979700285294
zincblende,InP,85.89638395842621
zincblende,InSb,14.66007638969998
zincblende,MgTe,11.235859661473173
zincblende,CSi,489.4072006791169
zincblende,OZn,70.88344515489206
zincblende,SZn,69.15317134764877
zincblende,SeZn,21.422100070808156
