name,symbol,atomic_number,electronegativity,mass_dalton
hydrogen,H,1,2.2,1.008
unbiunium,Ubu,121,,
lanthanum,La,57,1.1,138.90547
promethium,Pm,61,1.13,
samarium,Sm,62,1.17,150.36
gadolinium,Gd,64,1.2,157.25
terbium,Tb,65,1.2,158.925354
helium,He,2,4.5,4.002602
dysprosium,Dy,66,1.22,162.5
holmium,Ho,67,1.23,164.930329
lithium,Li,3,1,6.94
beryllium,Be,4,2,9.0121831
ytterbium,Yb,70,1.1,173.045
erbium,Er,68,1,167.259
thulium,Tm,69,1,168.934219
lutetium,Lu,71,1,174.9668
americium,Am,95,1.13,243
curium,Cm,96,1.28,247.07
carbon,C,6,2.55,12.011
californium,Cf,98,1.3,
berkelium,Bk,97,1.3,
nitrogen,N,7,3,14.007
boron,B,5,2,10.81
einsteinium,Es,99,1.3,
oxygen,O,8,3.44,15.999
fermium,Fm,100,1.3,257.095
mendelevium,Md,101,1.3,
lawrencium,Lr,103,1.3,
unbibium,Ubb,122,,
nobelium,No,102,1.3,
fluorine,F,9,3.98,18.998403162
untriunium,Utu,131,,
unbihexium,Ubh,126,,
untribium,Utb,132,,
unbiseptium,Ubs,127,,
unbipentium,Ubp,125,,
untrinilium,Utn,130,,
unbiennium,Ube,129,,
magnesium,Mg,12,1,24.305
neon,Ne,10,,20.1797
unbioctium,Ubo,128,,
unbiquadium,Ubq,124,,
sodium,Na,11,1,22.98976928
untriseptium,Uts,137,,
unquadnilium,Uqn,140,,
unquadennium,Uqe,149,,
unpentunium,Upu,151,,
unpentnilium,Upn,150,,
unpentbium,Upb,152,,
silicon,Si,14,1.9,28.085
untriennium,Ute,139,,
untrihexium,Uth,136,,
untrioctium,Uto,138,,
unbitrium,Ubt,123,,
unquadseptium,Uqs,147,,
unquadbium,Uqb,142,,
unquadhexium,Uqh,146,,
unquadoctium,Uqo,148,,
unquadpentium,Uqp,145,,
unpenttrium,Upt,153,,
francium,Fr,87,0.7,
untritrium,Utt,133,,
untriquadium,Utq,134,,
unquadtrium,Uqt,143,,
unquadunium,Uqu,141,,
unquadquadium,Uqq,144,,
untripentium,Utp,135,,
phosphorus,P,15,2.19,30.973761998
aluminium,Al,13,1.61,26.9815384
iron,Fe,26,1.83,55.845
sulfur,S,16,2.58,32.06
unpentquadium,Upq,154,,
unpentpentium,Upp,155,,
unseptbium,Usb,172,,
unhexoctium,Uho,168,,
unhexpentium,Uhp,165,,
unsepttrium,Ust,173,,
unhexquadium,Uhq,164,,
unhexennium,Uhe,169,,
unhexseptium,Uhs,167,,
chlorine,Cl,17,3,35.45
argon,Ar,18,,39.95
unpentoctium,Upo,158,,
unhexbium,Uhb,162,,
unhextrium,Uht,163,,
unhexunium,Uhu,161,,
unpentseptium,Ups,157,,
unseptnilium,Usn,170,,
unhexhexium,Uhh,166,,
unhexnilium,Uhn,160,,
unpentennium,Upe,159,,
unseptunium,Usu,171,,
unpenthexium,Uph,156,,
potassium,K,19,0.82,39.0983
calcium,Ca,20,1,40.078
lead,Pb,82,2,207.2
scandium,Sc,21,1.36,44.955907
titanium,Ti,22,1.54,47.867
vanadium,V,23,,50.9415
chromium,Cr,24,1.66,51.9961
manganese,Mn,25,1.55,54.938043
rhenium,Re,75,1.9,186.207
cobalt,Co,27,1.88,58.933194
tungsten,W,74,2.36,183.84
osmium,Os,76,2.2,190.23
nickel,Ni,28,1.91,58.6934
copper,Cu,29,1.9,63.546
zinc,Zn,30,1.65,65.38
gallium,Ga,31,1.81,69.723
germanium,Ge,32,2.01,72.63
arsenic,As,33,2.18,74.921595
selenium,Se,34,2.55,78.971
iridium,Ir,77,2.2,192.217
bromine,Br,35,3,79.904
platinum,Pt,78,2.28,195.084
krypton,Kr,36,3,83.798
rubidium,Rb,37,1,85.4678
mercury,Hg,80,,200.592
thallium,Tl,81,1.62,204.38
strontium,Sr,38,1,87.62
gold,Au,79,2.54,196.96657
yttrium,Y,39,1,88.905838
bismuth,Bi,83,2.02,208.9804
polonium,Po,84,2,
astatine,At,85,2.2,
zirconium,Zr,40,1,91.224
niobium,Nb,41,2,92.90637
molybdenum,Mo,42,2,95.95
technetium,Tc,43,1.9,97.907
ruthenium,Ru,44,2.2,101.07
rhodium,Rh,45,2.28,102.90549
palladium,Pd,46,,106.42
silver,Ag,47,2,107.8682
indium,In,49,1.78,114.818
cadmium,Cd,48,1.69,112.414
antimony,Sb,51,2.05,121.76
uranium,U,92,1.38,238.028906
tellurium,Te,52,2.1,127.6
tin,Sn,50,1.96,118.71
iodine,I,53,3,126.90447
plutonium,Pu,94,1.28,
neptunium,Np,93,1.36,
xenon,Xe,54,2.6,131.293
protactinium,Pa,91,2,231.03588
cesium,Cs,55,0.79,132.90545196
barium,Ba,56,0.89,137.327
thorium,Th,90,1,232.0377
actinium,Ac,89,1.1,227.028
hafnium,Hf,72,1,178.486
tantalum,Ta,73,1.5,180.94788
radium,Ra,88,0.9,
radon,Rn,86,,
ununennium,Uue,119,,
seaborgium,Sg,106,,
dubnium,Db,105,,
rutherfordium,Rf,104,,
unbinilium,Ubn,120,,
bohrium,Bh,107,,
hassium,Hs,108,,
darmstadtium,Ds,110,,
meitnerium,Mt,109,,
roentgenium,Rg,111,,
nihonium,Nh,113,,
copernicium,Cn,112,,
flerovium,Fl,114,,289.191
moscovium,Mc,115,,
livermorium,Lv,116,,
tennessine,Ts,117,,
oganesson,Og,118,,
cerium,Ce,58,1.12,140.116
praseodymium,Pr,59,1.13,140.90766
neodymium,Nd,60,1.14,144.242
europium,Eu,63,1.2,151.964
