,sort-name,name,gender,genre,disambiguation,country,start-date
0,"Boum Bomo's, Les",Les Boum Bomo's,,,French parodic punk band,,
1,KaS Product,KaS Product,,coldwave,,,1980.0
2,1st Round,1st Round,,,,,
3,Fractal Universe,Fractal Universe,,,,,2013.0
4,Fuzzphorus,Fuzzphorus,,desert rock,,,2011.0
5,Eluun,Eluun,,,Electronic producer,,
6,FAAAL,FAAAL,,,French noise band,,
7,Coeur Bavard,Coeur Bavard,,,French pop band,,2020.0
8,"Gadaut, Géraldine",Géraldine Gadaut,Female,,,,1985.0
9,Logruss,Logruss,,,French avant-garde/progressive metal band,,2005.0
10,"Fallot, Guy",Guy Fallot,Male,,cellist,FR,1927.0
11,"Dalmorès, Charles",Charles Dalmorès,Male,,french tenor,FR,1871.0
12,Gauthier Louis,Gauthier Louis,Male,,Lead guitarist in Hart Plant,,1997.0
13,Lefuneste,Lefuneste,Male,,"Experimental hip-hop from Nancy, France",,
14,"Antoine, Bernadette",Bernadette Antoine,Female,,,FR,1940.0
15,Charles the Bold,Charles the Bold,Male,,,FR,1433.0
16,Hart Plant,Hart Plant,,,,,2015.0
17,Burning Amps,Burning Amps,,,,,
18,"Marchal, Julien",Julien Marchal,Male,,,,1985.0
19,"Malchiodi, Antonin",Antonin Malchiodi,Male,,,,
20,"Gooyatsh, Eddy (la)",Eddy (la) Gooyatsh,Male,,,FR,1974.0
21,"Mourot, Jean-René",Jean-René Mourot,Male,,,FR,1986.0
22,DeadMen,DeadMen,,,French Post-Hardcore Band,,2014.0
23,"Baudiot, Charles",Charles Baudiot,Male,,,FR,1773.0
24,"Couture, Charlélie",Charlélie Couture,Male,,,FR,1956.0
25,Deejay H,Deejay H,Male,,,,
26,Aion,Aion,,coldwave,French band,FR,1990.0
27,"Paquotte, Arnaud",Arnaud Paquotte,Male,,French bassist,BE,1974.0
28,Günther,Günther,Male,,Pianist and production in ËLLE,,1997.0
29,Etage 34,Etage 34,,,,FR,1994.0
30,Infected Pussy & the Precoce Boys,Infected Pussy & the Precoce Boys,,,"Punk band from Nancy, France",,
31,Depraved,Depraved,,,French brutal death metal/grindcore,,1992.0
32,KiCkS,KiCkS,Male,,"French house DJ/production, Cracki Records associated",,
33,"Gigout, Eugène",Eugène Gigout,Male,,,FR,1844.0
34,"Cahen, Laura",Laura Cahen,Female,,,FR,1990.0
35,Who's The Cuban?,¿Who's The Cuban?,,,,,
36,Dusk of Delusion,Dusk of Delusion,,,,,2016.0
37,"Ott, Christian",Christian Ott,Male,,French organist,FR,1968.0
38,"Charlot, Joseph",Joseph Charlot,Male,,,FR,1827.0
39,"Aberdam, Elaine",Elaine Aberdam,Female,,,,
40,BVDK,BVDK,,,,,2016.0
41,Deinos Mastema,Deinos Mastema,,,,,
42,Kalkanos,Kalkanos,,,French punk and reggae band,FR,2015.0
43,"Bertrand, Alexandre ""Goulec""","Alexandre ""Goulec"" Bertrand",Male,,,,
44,Bael,Bael,,,French Black Metal,FR,1998.0
45,"Bruni, Ana",Ana Bruni,Female,,Vocals in Hart Plant,FR,1997.0
46,"Rolland, Claude",Claude Rolland,Male,,French composer & pianist,,1921.0
47,Anémochorie,Anémochorie,Male,,,,
48,"Hoffmann, François Benoît",François Benoît Hoffmann,Male,,,FR,1760.0
49,Drain Pump Booster,Drain Pump Booster,,,,,
50,"Condé, Gérard",Gérard Condé,Male,,,FR,1947.0
51,"Barbulée, Jeannine",Jeannine Barbulée,Female,,,FR,1912.0
52,"Dents de la Meurthe, Les",Les Dents de la Meurthe,,,,,
53,Frekkr,Frekkr,,,,,2005.0
54,"Juarez, Charlène",Charlène Juarez,Female,,,,1983.0
55,"Benoit, Dom Paul",Dom Paul Benoit,Male,,,FR,1893.0
56,"Hekking, Gérard",Gérard Hekking,Male,classical,,FR,1879.0
57,Gu Guai Xing Qiu,Gu Guai Xing Qiu,,,,,
58,Bud Spencer,Bud Spencer,,,sludge progressist from France,,2007.0
59,Acintya,Acintya,,,French progressive rock band,,
60,"Delhotal, Alain",Alain Delhotal,Male,,,FR,1955.0
61,"Amis d'ta femme, Les",Les Amis d'ta femme,,punk,,FR,1996.0
62,Hoikam,Hoikam,Male,,"Francis Loubry, techno hardcore",,
63,"Bachelet, Alfred",Alfred Bachelet,Male,,,FR,1864.0
64,"Rebotini, Arnaud",Arnaud Rebotini,Male,,,FR,1970.0
65,"Anthony, Jérôme",Jérôme Anthony,Male,,,FR,1968.0
66,"Kaiser, Henri",Henri Kaiser,Male,,,FR,1861.0
67,"Sauvage, Catherine",Catherine Sauvage,Female,,,FR,1929.0
68,"Noël, Charles-Nicolas",Charles-Nicolas Noël,Male,,painter,FR,1728.0
69,Florimond Hugo,Hugo Florimond,Male,,,,
70,"Chartreux, Annick",Annick Chartreux,Female,,,FR,
71,AKTHESIS,AKTHESIS,,death metal,,,2013.0
72,"Arlot, Antoine",Antoine Arlot,,,,,
73,"Jack, Claire Chookie",Claire Chookie Jack,Female,,,,
74,Expect Anything,Expect Anything,,,,FR,2008.0
75,"Garaudé, Alexis de",Alexis de Garaudé,Male,,,FR,1779.0
76,Aud,Aud,,,,,
77,Dead Stereo Boots,Dead Stereo Boots,,,"Rock garage band from Nancy, France",,2012.0
78,"Vincent, David, et ses mutants",David Vincent et ses mutants,,rock,French alternative rock band from Nancy,FR,2005.0
79,"Alexy, Cyril",Cyril Alexy,Male,,chanson/ballad,FR,
80,"Chenevez, Daniel",Daniel Chenevez,Male,,,FR,1959.0
81,Jham,Jham,,,,FR,2017.0
82,gmö,gmö,Male,ambient,cinematic rock,,1980.0
83,Lorelei,Lorelei,,,French punk band,FR,2013.0
84,"Allemane, Benoît",Benoît Allemane,Male,,,FR,1934.0
85,"Nouveau Détective, Le",Le Nouveau Détective,,,Punk,,
86,"Heyms, Jérémie",Jérémie Heyms,Male,,,,1983.0
87,Bahrrecht,Bahrrecht,,,,,2001.0
88,Caldera,Caldera,,,Stoner/Traditional Doom Metal,,2001.0
89,IPPON,IPPON,,,,,
90,Chernabogue,Chernabogue,Male,,video game arranger Alexandre Mourey,,1991.0
91,"Mourey, Alexandre",Alexandre Mourey,Male,,,,1991.0
92,Dirty Work of Soul Brothers,Dirty Work of Soul Brothers,,,,,
93,"Bizot, Jean",Jean Bizot,Male,,organist,,
94,"Ledroit, Henri",Henri Ledroit,Male,,countertenor,FR,1946.0
95,"Keller, Charles",Charles Keller,Male,,dit Jacques Turbin,FR,1843.0
96,Elvaron,Elvaron,,,Frensh Progressive Thrash,,
97,Dirty Sluts,Dirty Sluts,,,"Hardcore band from Nancy, France",,
98,mue,[mμe],,,,,
99,"Denys, Clément",Clément Denys,Male,,,,
0,Spatsz,Spatsz,Male,,,,1957.0
1,Machine Gun Kelly,Machine Gun Kelly,,,French band,,
2,Mortuary,Mortuary,,death metal,French death metal,,1988.0
3,SU,SU,,,French Hardcore noise,,
4,Show Me Your Tits,Show Me Your Tits,,,,FR,2017.0
5,"Belyzel, Najoua",Najoua Belyzel,Female,,,FR,1981.0
6,"Slit Plasters, The",The Slit Plasters,,,,,
7,Maurel,Maurel,Male,,,FR,
8,"Vairelles, Tony",Tony Vairelles,Male,,,FR,1973.0
9,"Lasson, Mathieu",Mathieu Lasson,Male,,,FR,
10,"Bernard, Marie-Hélène",Marie-Hélène Bernard,Female,,,FR,1953.0
11,No Milk,No Milk,,,French punk rock band,,1994.0
12,"Éliane, Pierre",Pierre Éliane,Male,,,FR,1955.0
13,"Fédrizzi, Michel",Michel Fédrizzi,,,,,
14,My Perfect Body,My Perfect Body,,,"Indie rock from Nancy, France.",,
15,"Labey, Marcel",Marcel Labey,Male,contemporary classical,,,1875.0
16,Lying Figures,Lying Figures,,,,,2008.0
17,Richard Durn,Richard Durn,,,french anarchopunk band,,
18,Zhurgal Dukhiatz,Zhurgal Dukhiatz,,,,,2003.0
19,"Tapas, Vled",Vled Tapas,Male,,,,1988.0
20,"Fallot, Monique",Monique Fallot,Female,,,FR,1926.0
21,"Boufflers, Stanislas de",Stanislas de Boufflers,Male,,,,1738.0
22,Zend Avesta,Zend Avesta,Male,,,FR,1970.0
23,Merde,Merde,,,"Punk rock band from Nancy, France",,
24,"Nurdin, William",William Nurdin,,experimental,,,
25,Voraphilya,Voraphilya,,,,,
26,"Denni, Lucien",Lucien Denni,Male,,film score composer,,1886.0
27,P.O.BOX,P.O.BOX,,,French punk band,FR,2001.0
28,"Pelletier, Valentin",Valentin Pelletier,Male,,,,
29,MeLL,MeLL,Female,,French female singer,,1982.0
30,Untamed,Untamed,,,French grindcore,,1997.0
31,Utopic Sporadic Orchestra,Utopic Sporadic Orchestra,,,,FR,1975.0
32,"Wandji, Manuel",Manuel Wandji,Male,,,,1961.0
33,Shaïd,Shaïd,,,"Grind/crust band from Nancy, France",,
34,"Denni, Stéphane",Stéphane Denni,,,,,
35,"Coudret, Sylvain",Sylvain Coudret,Male,,,,
36,Warfaith,Warfaith,,,,,2012.0
37,Pessimists,Pessimists,,,French hc punk,,
38,Synopsis,Synopsis,,,French Progressive Rock,,
39,NKT,NKT,,,"Hardcore band from Nancy, France",,
40,Reviens,Reviens,,,,,
41,"Canck, Philippe de",Philippe de Canck,Male,,,FR,1955.0
42,Tolstoi,Tolstoi,,,Nancy,,
43,"Muller, Louis",Louis Muller,Male,,Rythmic guitarist in Hart Plant,FR,1997.0
44,"Dusapin, Pascal",Pascal Dusapin,Male,,French composer,FR,1955.0
45,"Grisvard, Philippe",Philippe Grisvard,Male,,,FR,1980.0
46,Mary X,Mary X,,,french post-rock,,
47,"Pollain, René",René Pollain,Male,,,,1882.0
48,"Valence, Pierrick",Pierrick Valence,Male,,,,1982.0
49,"Winged Seahorses, The",The Winged Seahorses,,,,,2011.0
50,Marie,Marie,Female,,"French singer, ESC 1973 for Monaco",MC,1949.0
51,Nuit Acide,Nuit Acide,,,,,2019.0
52,"Flageollet, William",William Flageollet,Male,,,FR,1945.0
53,"Adam, Nicolas-Sébastien",Nicolas-Sébastien Adam,Male,,,FR,1705.0
54,Tonton David,Tonton David,Male,reggae,French reggae singer,FR,1967.0
55,Sunhiausa,Sunhiausa,Male,,"Valentin Laure, speedcore",,
56,VFO89,VFO89,Male,,"French-born, Brussels based techno DJ & producer",,
57,"Schaeffer, Pierre",Pierre Schaeffer,Male,musique concrète,French musique concrète composer,FR,1910.0
58,"Zuccaro, Olivier",Olivier Zuccaro,Male,,,,1980.0
59,Pantois,Pantois,,,,,2014.0
60,Orchestre symphonique et lyrique de Nancy,Orchestre symphonique et lyrique de Nancy,,,,,1884.0
61,"Haas, Werner",Werner Haas,Male,classical,"classical pianist, NOT the 50s schlager singer Werner Hass",DE,1931.0
62,LSVB,LSVB,,coldwave,"Electro-Industrial / Synthpop project of Laurent ""Bart"" Steiner",,1992.0
63,Wheelfall,Wheelfall,,industrial metal,"French stoner rock band, based in Nancy",FR,2010.0
64,Oli de Sat,Oli de Sat,Male,new wave,,FR,1973.0
65,"Squares, The",The Squares,,,"Rhythm n blues garage punk band from Nancy, France formed in the early 90's and splitted in 1995.",FR,
66,Streets of Rage,Streets of Rage,,,"Oi! band from Nancy, France",FR,2009.0
67,"Djokic, Philippe",Philippe Djokic,Male,,,CA,1950.0
68,"N'Furter, Rodger",Rodger N'Furter,Male,,,,
69,"Descharmes, Romain",Romain Descharmes,Male,,,FR,1980.0
